Constant_feature	Degree	Clustering_coefficient	Pagerank	Aver_path_len
1.0	4.0	0.3333333333333333	0.0012519680773770065	5.625
1.0	4.0	0.3333333333333333	0.0012182387659157045	4.84375
1.0	4.0	0.5	0.0011561012535904525	3.8125
1.0	4.0	0.5	0.0011765531327298522	3.5
1.0	4.0	0.3333333333333333	0.0011966309758318853	3.59375
1.0	4.0	0.16666666666666666	0.0012228630227011233	3.40625
1.0	3.0	0.0	0.0009550233903647136	3.46875
1.0	4.0	0.0	0.0012586634758105198	3.5625
1.0	4.0	0.16666666666666666	0.0012695507549453948	4.21875
1.0	4.0	0.16666666666666666	0.0012614833358712092	3.9375
1.0	4.0	0.5	0.0012798916512338845	4.53125
1.0	4.0	0.3333333333333333	0.0012519680773770063	5.625
1.0	3.0	0.0	0.0009404830849857881	4.9375
1.0	4.0	0.6666666666666666	0.0011362343502940798	3.90625
1.0	5.0	0.7	0.0013906166047295823	3.8125
1.0	4.0	0.3333333333333333	0.0011518194559380652	3.5
1.0	4.0	0.0	0.0012173134261937106	3.28125
1.0	4.0	0.0	0.0012396000967177193	3.28125
1.0	4.0	0.3333333333333333	0.001265104640331061	3.71875
1.0	3.0	0.3333333333333333	0.0009864892629812998	4.34375
1.0	4.0	0.16666666666666666	0.0012760803013310185	4.5625
1.0	5.0	0.4	0.0015892339579235111	4.5
1.0	2.0	1.0	0.0007300472244956193	6.21875
1.0	5.0	0.4	0.0016622242516346282	5.28125
1.0	4.0	0.6666666666666666	0.0012515182065925205	5.65625
1.0	5.0	0.2	0.0015608617612168528	4.03125
1.0	6.0	0.4	0.0016660404845280118	4.15625
1.0	6.0	0.4	0.0016609034277253467	3.71875
1.0	2.0	1.0	0.0007300472244956193	6.21875
1.0	4.0	0.5	0.0013660398289621254	5.3125
1.0	3.0	0.6666666666666666	0.0009683947921615266	6.5
1.0	3.0	0.0	0.000992344897486638	4.6875
1.0	5.0	0.5	0.0014101723542318191	4.25
1.0	2.0	0.0	0.0008362501286256104	11.338983050847459
1.0	3.0	0.3333333333333333	0.0011875510050757968	10.508474576271187
1.0	3.0	0.3333333333333333	0.0011470620532313934	9.627118644067796
1.0	3.0	0.3333333333333333	0.0010796394060008127	8.830508474576272
1.0	4.0	0.3333333333333333	0.0013697665735960091	8.813559322033898
1.0	5.0	0.3	0.0016876622569467485	8.101694915254237
1.0	3.0	0.6666666666666666	0.0010451210303509032	8.271186440677965
1.0	3.0	0.3333333333333333	0.0010326121011437867	7.576271186440678
1.0	4.0	0.3333333333333333	0.0012763011823111576	6.677966101694915
1.0	4.0	0.3333333333333333	0.0012037197486997008	6.711864406779661
1.0	5.0	0.4	0.001444451437881471	5.915254237288136
1.0	4.0	0.3333333333333333	0.0012281385841124083	6.033898305084746
1.0	4.0	0.0	0.0012766469725863298	6.169491525423729
1.0	4.0	0.16666666666666666	0.0013255168453872633	6.406779661016949
1.0	4.0	0.3333333333333333	0.0013974339900540847	7.237288135593221
1.0	3.0	0.6666666666666666	0.0010986456407844102	7.796610169491525
