Constant_feature	Degree	Clustering_coefficient	Pagerank	Aver_path_len
1.0	2.0	0.0	0.018604032480142314	6.636363636363637
1.0	4.0	0.16666666666666666	0.0342270790280845	5.757575757575758
1.0	3.0	0.0	0.024479071883979305	4.333333333333333
1.0	4.0	0.0	0.029939320454107406	5.181818181818182
1.0	4.0	0.6666666666666666	0.029182132218643252	6.545454545454546
1.0	4.0	0.16666666666666666	0.034345281566307465	6.484848484848484
1.0	3.0	0.0	0.02653851206371889	5.848484848484849
1.0	4.0	0.0	0.032164198877454364	4.2727272727272725
1.0	3.0	0.0	0.02333998159133341	5.2727272727272725
1.0	4.0	0.6666666666666666	0.029131905530293493	6.515151515151516
1.0	4.0	0.3333333333333333	0.034383766284920514	6.515151515151516
1.0	4.0	0.3333333333333333	0.033111082168400904	5.181818181818182
1.0	4.0	0.3333333333333333	0.029330125125317737	5.818181818181818
1.0	4.0	0.0	0.032962790897729896	4.212121212121212
1.0	3.0	0.0	0.025731851678509554	4.333333333333333
1.0	3.0	0.0	0.02563208544761281	4.515151515151516
1.0	4.0	0.0	0.03138382421492969	4.454545454545454
1.0	4.0	0.0	0.030800531946146504	4.757575757575758
1.0	4.0	0.16666666666666666	0.03326770544416792	4.757575757575758
1.0	6.0	0.2	0.043624272579732	6.454545454545454
1.0	2.0	0.0	0.016028177634244103	7.363636363636363
1.0	3.0	0.6666666666666666	0.026689264888303428	7.393939393939394
1.0	3.0	0.3333333333333333	0.02668257521383554	7.333333333333333
1.0	4.0	0.3333333333333333	0.03332371825079875	5.2727272727272725
1.0	5.0	0.2	0.036320413410508144	5.757575757575758
1.0	3.0	0.0	0.025618585287131936	4.2727272727272725
1.0	3.0	0.0	0.025731851678509554	4.333333333333333
1.0	3.0	0.0	0.02563208544761281	4.515151515151516
1.0	4.0	0.0	0.03138382421492969	4.454545454545454
1.0	4.0	0.0	0.030800531946146504	4.757575757575758
1.0	4.0	0.16666666666666666	0.03326770544416792	4.757575757575758
1.0	6.0	0.2	0.043624272579732	6.454545454545454
1.0	2.0	0.0	0.016028177634244103	7.363636363636363
1.0	3.0	0.6666666666666666	0.026689264888303428	7.393939393939394
