Constant_feature	Degree	Clustering_coefficient	Pagerank	Aver_path_len
1.0	2.0	0.0	0.05844194574646846	4.125
1.0	2.0	0.0	0.050482831589221275	3.0
1.0	2.0	0.0	0.05357034022387179	4.0
1.0	2.0	0.0	0.0535359899772839	4.125
1.0	3.0	0.0	0.07415323606325488	2.75
1.0	3.0	0.0	0.0745558165190175	2.875
1.0	3.0	0.0	0.07451323112241587	3.0
1.0	2.0	0.0	0.05049512438707643	2.875
1.0	3.0	0.0	0.07610517477913378	3.0625
1.0	3.0	0.0	0.07865370263926308	3.3125
1.0	2.0	0.0	0.052328158396270134	3.6875
1.0	2.0	0.0	0.053306173241392224	3.75
1.0	2.0	0.0	0.053306173241392224	3.75
1.0	2.0	0.0	0.05465173228794282	4.4375
1.0	2.0	0.0	0.05465173228794282	4.4375
1.0	2.0	0.0	0.0550677776053879	5.125
1.0	1.0	0.0	0.032180859892664795	5.0625
